 Index  ---date--- --time--          WBGT         unit           Ta         unit           Tg         unit           RH         unit
     1  06-11-2017 20:55:39          20.7            C         26.4            C         25.7            C         47.0            %
     2  06-11-2017 20:55:40          20.7            C         26.3            C         25.7            C         47.0            %
     3  06-11-2017 20:55:41          20.7            C         26.3            C         25.7            C         47.0            %
     4  06-11-2017 20:55:42          20.7            C         26.3            C         25.7            C         47.0            %
     5  06-11-2017 20:55:43          20.7            C         26.3            C         25.7            C         47.0            %
     6  06-11-2017 20:55:44          20.7            C         26.3            C         25.7            C         47.0            %
     7  06-11-2017 20:55:45          20.7            C         26.3            C         25.7            C         47.0            %
     8  06-11-2017 20:55:46          20.7            C         26.3            C         25.7            C         47.0            %
     9  06-11-2017 20:55:47          20.7            C         26.3            C         25.7            C         47.0            %
    10  06-11-2017 20:55:48          20.7            C         26.3            C         25.7            C         47.0            %
